Title	Content	Category	NewsType
"Couple held in waterboarding of girl, 9, police say"	"The father and stepmother of a 9-year-old girl have been arrested on child abuse charges after being accused of using waterboarding as a form of punishment, according to a report. Authorities identified the suspects as Joseph Maeser Mitchell, 29, and Ilaria Catherina Mitchell, 28, of Provo, Utah, Salt Lake City’s FOX 13 reported. The girl told police that the couple punished her on three occasions by tying her hands behind her back, then holding her down in a bathtub, with a towel over her face, as they ran water over her face, the report said. “The 9-year-old stated that she cannot breathe and it hurts when this happens,” a police report states, according to FOX 13. Reached in Texas, the girl’s biological mother expressed shock and outrage after hearing the allegations, the station reported. “It was the hardest thing for me to hear having to be in Texas,” said Brittany Calabrese, who added she hasn’t seen her daughter since 2014. “She’s nine, nine years old. That is torture of a child.” The case came to the attention of authorities in November when the father brought the girl to Utah Valley Hospital for an unspecified reason, and nurses making inquiries determined that something seemed wrong. The child is currently in the custody of the state’s Division of Child and Family Services while the case is handled by the legal system, FOX 13 reported."	nonTerrorism	Crime
Indiana governor says passing hate crime law 'long overdue'	"The spray-painting of a swastika outside a suburban Indianapolis synagogue this summer was the final straw for Republican Gov. Eric Holcomb, who quickly called for Indiana to join the 45 states that have hate crime laws. ""It's not only the right thing to do, it's long overdue,"" Holcomb said Friday during an interview with The Associated Press. ""I'm convinced the overwhelming majority of Hoosiers feel the same way."" As the annual legislative session draws near, though, some warn that such a proposal could spark a bitter cultural debate that would bring unwanted attention to the deeply conservative state, much like the 2015 religious objections law that critics widely panned as a sanctioning of discrimination against the LGBT community and that drew a stiff rebuke from big business. ""If this is a big, knock-down, drag out, 'RFRA-esque' discussion, it is not going to help anyone,"" said House Speaker Brian Bosma, using an acronym for 2015's Religious Freedom Restoration Act, which was signed into law by Vice President Mike Pence when he was Indiana governor. ""We need to do it in such a way that's not a net negative and brings undue attention to our state."" Bosma would know. The Indianapolis Republican helped shepherd a bill to ""fix"" the law through the Statehouse — steps that were taken only after businesses protested, groups vowed a boycott and the state was lampooned on late-night TV. An overwhelming majority of states have hate crime laws, which vary to some degree but generally allow for stiffer sentences to be given to people who are convicted of crimes motivated by hatred or bias. Only Indiana, Georgia, South Carolina, Wyoming and Arkansas do not. What remains to be seen is what sort of law might be palatable to Indiana legislators — whether it would be open-ended and general or whether it would specify characteristics that would be covered, such as race, gender, religion, sexual orientation and gender identity, which is what Holcomb wants. While many business leaders support the governor's call for a hate crime law and view the absence of one as a sign of intolerance, many religious conservatives, including some rank-and-file legislators, see it as an unnecessary exercise that could lead to other unwanted social changes. For years, they've stymied efforts to put a hate crime law on the books, arguing that judges can already consider factors such as bias when determining sentences. ""Nobody is for hate crime, but it's a Pandora's box,"" said Ron Johnson, who leads the Indiana Pastors Alliance and believes Christians are persecuted by gay rights supporters. ""It opens the door to all the rest of this craziness that we are seeing."" Some conservatives argue that adopting a hate crime law would create a ""protected"" class of citizen and grant additional acceptance to those who are lesbian, gay, bisexual or transgender. Another common refrain among lawmakers who oppose the idea is that it would target ""thought crime."" All crimes are bad, they say, regardless of what motivates them. Holcomb says ""nothing could be further from the truth."" ""You want to have a moronic thought ... that's your right,"" he said. ""But when it becomes a criminal action, you've crossed the line."" For those who have received intimidating threats driven by hatred or bias, the issue is far less abstract than many critics portray. Across the U.S., the number of reported hate crimes increased by about 17 percent in 2017, according to the FBI. In Indiana, the number has fluctuated in recent decades, ranging from about 40 to over 100 crimes per year that would fit the description. But those figures depend on how law enforcement agencies categorize crime, which can be subjective, and how many of them report their statistics to the FBI, which can fluctuate. Indiana has a complicated history when it comes to prejudice and bigotry. The state was a stop along the Underground Railroad, but in the 1920s, local politics was dominated by the Ku Klux Klan, with some estimates indicating that one-quarter of the native-born white men were members. In the 1960s, Indiana-born author and diplomat John Bartlow Martin described the state in a memo to Robert Kennedy as ""suspicious of foreign entanglements, conservative in fiscal matters, and with a strong overlay of Southern segregationist sentiment,"" according to Indiana historian Ray Boomhower. Aside from the synagogue vandalism that prompted Holcomb to publicly call for a hate crime law, activists say graffiti swastikas have been appearing in more public places. Last year, a man pleaded guilty to battery after authorities say he attacked a woman in Bloomington while shouting racial slurs and trying to remove her headscarf. And Matthew Heimbach, of Paoli, has become a prominent figure in the white nationalist movement, once spearheading a group that described itself as ""fighting to secure the existence of our people and a future for white children."" David Sklar, assistant director of the Indianapolis Jewish Community Relations Council, said the only reason anyone should worry about a hate crime law ""is if you are a criminal."" ""Will passing a hate crime statute ultimately stop a hate crime from happening? Chances are probably not,"" Sklar said. ""But it is equally important to make sure that a person receives the right amount of jail time and for the state to say, 'We will not tolerate these things and we will make our laws reflect that.'"""	nonTerrorism	Crime
Family: Alabama tries to shield officer who killed black man	"Relatives of a black man killed by police in Alabama's largest shopping mall claimed Monday that a state takeover of the investigation is a bid by authorities to protect the officer. Holding a photo of her son Emantic ""EJ"" Bradford Jr., April Pipkins said the move by Attorney General Steve Marshall to assume control of the probe seemed aimed at shielding the officer, who has yet to be named publicly. The family's lawyers contend the case should have been left with newly elected Jefferson County District Attorney Danny Carr, who is black, or given to Lynneice Washington, another black district attorney who handles cases in the western part of the county. ""All the family wants is for justice to be served for my son,"" Pipkins said during a news conference. ""By taking the case from Mr. Carr, we feel they are trying to protect this officer who killed by son."" Carr declined comment, but his office reissued a statement from last week saying it was capable of handling the investigation into Bradford's death at a shopping mall in suburban Hoover on Thanksgiving night. Marshall said last week that his office was taking over the investigation to guard against any potential conflicts of interest involving local officials. Joy Patterson, spokeswoman for the attorney general's office, said Monday that correspondence shows Carr ""directly conveyed to Attorney General Marshall the presence of Carr's perceived conflicts in this matter"" and that Marshall ""acted on standard procedure to assume prosecution."" ""The Attorney General's Office will ensure that the Hoover mall shooting cases are handled with the highest degree of fairness and professionalism as we pursue justice for all parties,"" Patterson said. Washington said she doesn't believe Carr should have been removed from the case, and she doubts Marshall would now send the case to her. The officer who shot Bradford is involved in about 20 cases pending with area prosecutors, officials said. At least one protest leader involved in demonstrations over the shooting publicly supported Carr in his successful bid to become Birmingham's first black district attorney. Ben Crump, an attorney representing Bradford's family, said relatives were ""very suspicious"" of the grab by Marshall, a Republican appointee who won his first full term in office last month. The officer should be charged with murder if the evidence supports it, he said. ""They feel they're trying to protect this officer,"" Crump said. Bradford, 21, was shot to death moments after gunfire erupted during a confrontation at the Riverchase Galleria, which was crowded with holiday shoppers. Police initially claimed Bradford was the gunman in that initial confrontation and said an officer shot him. They later said Bradford was not the shooter but an officer heard shots, saw Bradford with a gun and fired at him. Relatives have said Bradford was licensed to carry a weapon. A forensic exam commissioned by the family showed that Bradford was shot three times in the rear portion of his body, including once in the back of the head. A brief portion of videotape reviewed by the family's legal team supports evidence that indicates Bradford was moving away from the officer when he was shot, Crump said. Authorities have refused to publicly release video or other evidence, citing the continuing investigation."	nonTerrorism	Crime
"Georgia teacher admits stealing 9-year-old student's violin to pay ticket, police say"	"A Georgia teacher told police he stole a 9-year-old student's violin because he needed money to pay for a $700 ticket. Citing an incident report, news outlets report that video showed 21-year-old Kalif Jones of Stone Mountain stealing the instrument from the cafeteria. It also showed the Brockett Elementary School teacher walking throughout the school with the violin case in hand before leaving with it. The criminal investigation began in late November after the student came home without his instrument. Police arrested the Dekalb County teacher after he said he stole the violin because he had recently received a $700 ticket and needed money for it. Jail records show he was charged with a count of misdemeanor theft Nov. 29. It's unclear if he has a lawyer."	nonTerrorism	Crime
Statue of Liberty climber convicted in July 4 protest	"A woman who climbed the base of the Statue of Liberty on July 4 to protest the separation of families at the Mexican border was convicted Monday of misdemeanor charges by a judge who said a person's viewpoint can't be a factor in whether laws are enforced. The verdict by U.S. Magistrate Judge Gabriel W. Gorenstein came two hours after Therese Okoumou got choked up as she testified, saying images from the U.S.-Mexican border of children being torn from their parents gave her nightmares. She faces up to 18 months in prison at a March 5 sentencing on charges of trespassing, interference with an agency's function and disorderly conduct. Ron Kuby, one of Okoumou's lawyers, told the judge that his client wanted a trial even though it was clear the ""likelihood of her conviction today was close to 100 percent."" In a courtroom packed with emotional Okoumou supporters, Gorenstein explained that his decision needed to be consistent whether it was Okoumou who climbed the statue or somebody with the exact opposite opinions. He noted that Okoumou repeatedly ignored orders to descend from a perch at the feet of the statue that was high enough that a prosecutor said it could have seriously injured or killed her or tourists below. New York Police Department rescuers were forced to climb a rickety ladder and gird themselves like mountain climbers to safely bring her down. The nearly four-hour demonstration forced an evacuation of 4,330 people from the statue grounds on one of its busiest days of the year. Okoumou had testified that she couldn't live with the sight of ""children in cages"" and thought climbing the statue was the only way to bring attention to the issue. ""I have had nightmares. I just couldn't live with it,"" she said. Outside court afterward, she stood alongside Kuby, defense attorney Rhidaya Trivedi and California attorney Michael Avenatti, who served as an adviser in the case, as supporters held signs behind her. ""We stand on the right side of history,"" Okoumou said. ""I am not a bit discouraged today."" She said she didn't regret her Statue of Liberty protest. ""The act of climbing the base of the Statue of Liberty went well beyond peaceable protest, a right we certainly respect. It was a crime that put people at grave risk,"" he said, citing the work by NYPD and U.S. Park Police officers who rescued her. Gorenstein allowed Okoumou to remain free without addition bail conditions requested by Assistant U.S. Attorney Brett Kalikow, who said Okoumou had twice tried to climb the Eiffel Tower in Paris and was arrested at an August 2017 Department of Labor protest. This story has been corrected to show that the defendant's first name is Therese, not Theresa."	nonTerrorism	Crime
Ohio police officer pens emotional plea to speeders after ticketing teen for driving 100 mph	"An Ohio police officer told a teenager ""you're welcome"" in an open letter on Facebook Sunday after issuing the 18-year-old a speeding ticket on State Route 10. And the cop hopes other lead-footed drivers will take note. When the officer — who was not identified in the post — with the North Ridgeville Police Department pulled the teenager over for speeding, the driver claimed to not realize how fast he or she was going. But the officer immediately knew that wasn't true. In fact, the official said it should be pretty obvious you're speeding when you hit 100 miles per hour in a 65 mile-per-hour zone. ""You may not realize when you’re doing 45 in a 35 but you are fully aware of every mile per hour at 100. You realize it with every bump you hit. You realize it as you pass cars so fast the wind moves your car. You realize it every time you drift over the line and when you move the wheel the car reacts a lot quicker than you’re used to. You absolutely realized it,"" the officer wrote. The officer said the teen was just ""minutes away"" from causing a Christmas tragedy, potentially harming him or herself as well as others on the road. It was clear the teen was upset — ""visibly shaking and breathing hard"" — after being pulled over by the patrol car, but that wasn't the right reason to panic, the cop added. ""You should have been scared that you were trying to kill yourself. I know you’re invincible. I know that you can’t even fathom your own death,"" the officer continued. ""I can tell you dozens of stories of dead and broken 18-year-old bodies that I’ve pulled from cars. Broken bodies that I’ve found in front yards after crashes. Unrecognizable bodies. They thought they were invincible too. They weren’t."" In the lengthy letter, the officer pleads with the teenager to think about his or her parents or guardians in the future, explaining how they would be devastated if anything happened to their child. ""Sometimes you’re the innocent person hit by someone with no regard for anyone else and sometimes you’re the one with no regard for anyone else. Today you were the latter,"" the official added. At the end of the note, the officer admitted the 18-year-old appeared to be a ""nice kid who made a bad decision,"" though the cop added the ticketed was warranted. ""I don’t feel bad about this ticket at all. In fact, I’m proud of it. I hope you’re paying it off for months and with every payment you think about how it wasn’t worth it. I hope you slow down,"" the note continues, adding once again a reminder that no one is invincible. The Facebook post has been shared by more than 78,000 people and received 6,000 comments as of Monday afternoon. The majority of users thanked the police department for the emotional reminder. ""We have some outstanding cops,"" one Facebook user replied. ""Thank you mr. Officer you could not say it no better way only if the kids realize what damage they can do the other people God bless you and your family,"" another echoed. ""Thank you for stopping him. Job well done,"" a man responded."	nonTerrorism	Crime
Statue of Liberty climber who protested Trump administration found guilty	" A woman who climbed the Statue of Liberty over the summer in protest of the Trump administration was found guilty Monday for the ""dangerous stunt"" which federal prosecutors say endangered law enforcement officers. Therese ""Patricia"" Okoumou was charged with trespassing, interfering with agency functions and disorderly conduct following the event on July 4, to which she pleaded not guilty. Okoumou faces up to 18 months in prison. STATUE OF LIBERTY CLIMBER SPEAKS OUTSIDE COURT, SAYS DECISION TO SCALE MONUMENT WAS 'SPUR OF THE MOMENT' A native of the Democratic Republic of Congo who now lives in Staten Island, Okoumou was represented by Michael Avenatti. Okoumou was protesting Trump's immigration policies on Independence Day when she climbed up to the base of Lady Liberty, roughly 25 feet above the monument's observation point, and refused to leave. The national park was shut down early as a precaution. The woman was apprehended by two New York Police Department officers around four hours later. More than a dozen NYPD Emergency Service Unit officers were involved in the rescue. Okoumou ""endangered herself and the NYPD and U.S. Park Police officers who rescued and apprehended her,"" the U.S. Attorney's office for the Southern District of New York said in a statement Monday. WOMAN ESCORTED DOWN AFTER SCALING STATUE OF LIBERTY FOLLOWING ANTI-ICE PROTESTS ""The act of climbing the base of the Statue of Liberty went well beyond peaceable protest, a right we certainly respect,"" Attorney Geoffrey Berman said. ""It was a crime that put people at grave risk."" An NYPD detective at the time said Okoumou was ""basically up there saying about the children in Texas."" Nearly 2,000 children were separated from their parents earlier this year after the Trump administration announced a ""zero-tolerance"" policy regarding immigrants who enter the U.S. illegally. In court on Monday, Okoumou said images from the southern border with Mexico gave her nightmares, adding that she couldn't live with the sight of ""children in cages."" Before she scaled the historic monument, Okoumou joined a demonstration from activist group Rise and Resist who hung a banner that read ""ABOLISH ICE"" from the statue's pedestal. The group said they had no idea Okoumou planned to scale the Statue of Liberty. The Associated Press contributed to this report."	nonTerrorism	Crime
Jesuit province releases names of accused abusers	"The Roman Catholic Jesuit province serving much of the eastern United States on Monday released the names of Jesuit priests who face ""credible or established"" accusations of sexual abuse of minors dating to 1950. In a letter, the Maryland Province of the Society of Jesus identified five living Jesuits facing offenses that took place in the province and another eight who are dead. The men — part of a Catholic order that includes more than 16,000 men worldwide — served in churches, high schools, colleges and other institutions. It's the latest in a string of similar disclosures from Jesuit governing bodies. Earlier this month, two other Jesuit provinces that cover nearly half the U.S. released the names of more than 150 priests and other ministry leaders found to have ""credible allegations"" of sexual abuse made against them. The letter from the Rev. Robert Hussey, the leader of the Jesuit province headquartered in Maryland, states that most cases date back decades and the most recent incident occurred in 2002. The five still alive are listed as living in supervised housing ""on a safety plan."" He said in the letter, dated Monday, that the province hopes the disclosure ""will contribute to reconciliation and healing."" ""We are deeply sorry for the harm we have caused to victims and their families,"" said Hussey, whose statement was attached to the list of names and accusations. None of the living named Jesuits are in active ministry in the grouping that extends through South Carolina, North Carolina, Georgia, Virginia, West Virginia, southern New Jersey, Pennsylvania, Maryland, and the District of Columbia. While some of the named Jesuit priests were removed from ministry in the 1990s, others were not removed until well after the U.S. church sex abuse scourge exploded in Boston in 2002. One accused priest, Neil McLaughlin, was not removed from ministry until 2007 despite the fact he is believed to have abused youngsters from his ordination in 1959 until the 1980s, with multiple accusations of abuse from Maryland, Pennsylvania, Georgia, New York and Massachusetts. Another Jesuit priest, J. Glenn Murray, was only removed from ministry in 2011, decades after he was accused of a single allegation of sex abuse in Baltimore dating from 1981, a few years after his ordination. David Lorenz, a clergy sex abuse survivor who leads the Maryland chapter of the Survivors Network of those Abused by Priests, or SNAP, said he was glad the Jesuits were putting out a list of abusers so some victims could get some relief and move ahead in their lives. But he stressed that the list was ""wholly inadequate,"" in his view, and the only way to get all the information about church abuse was through subpoenas by independent investigators. ""Unless you force them to open up their records you can't believe that what they're giving you is complete,"" Lorenz said in a phone interview Monday. The Jesuits have previously settled lawsuits across the country, including a $166 million settlement involving about 500 abuse claims in Oregon in 2011, one of the largest settlements involving clergy abuse allegations. The Jesuit president of Maryland's Loyola University, the Rev. Brian F. Linnanne, issued a statement Monday that seven Jesuits on the list were previously affiliated with the institution or with Loyola's Jesuit community. None of the allegations occurred while they were on campus. ""Transparency and openness can reveal weighty truths. We must confront them and address them so we can move forward with optimism, hope, and a conviction that we will never allow such deplorable actions to occur in the future,"" he wrote. In an email, the spokesman for the Baltimore Archdiocese said there was hope that the ""disclosure will advance the culture of transparency that we have worked hard to create and that it will inspire other potential courageous victim-survivors to come forward."" Catholic bishops adopted widespread reforms in 2002 when clergy abuse became a national crisis for the church in the U.S., including stricter requirements for reporting accusations to law enforcement and a streamlined process for removing clerics. But a Pennsylvania grand jury this year made very clear that more changes are needed. In a nearly 900-page report released Aug. 14, the grand jury alleged that more than 300 Roman Catholic priests had abused at least 1,000 children over the past seven decades in six Pennsylvania dioceses. It also accused senior church officials of systematically covering up complaints."	nonTerrorism	Crime
Kansas man gets 109 years for abuse and killing of toddler	"A Kansas man convicted of abusing and killing his girlfriend's 3-year-old son before encasing the boy's body in concrete in their rental home's garage was sentenced Monday to more than 100 years in prison. Judge Steve Ternes sentenced Stephen Bodine to 109 years and six months after telling him during the hearing in Sedgwick County district court: ""Your acts were disgusting and cowardly and monstrous."" Bodine, 41, did not address the court. Bodine was convicted in October of first-degree murder, child abuse and other charges in the torture and killing of Evan Brewer. Prosecutors say Bodine and Evan's mother, Miranda Miller, chained the boy in the basement and forced him to stand in a corner for hours in the months before his May 2017 death at their rental home in Wichita. Evan's body was found that September by the landlord, after Miller and Bodine moved out. Miller, 37, pleaded guilty to second-degree murder and other charges last month and is due to be sentenced in January. Her plea deal required her to testify against Bodine. During Bodine's trial, prosecutors presented a cache of 16,000 photos and video files collected by the couple's home surveillance system that detailed the boy's abuse. Miller testified that Bodine made Evan stand against a wall for hours for not eating on May 19, 2017. When the boy collapsed, Bodine took the screaming boy into the bathroom and later came out with his wet and lifeless body. Miller said Bodine mixed bags of concrete and buried the boy's body in it. When Evan's body was found, it was so badly decomposed that an autopsy couldn't determine how he had died. He had Benadryl in his system, and Miller said she thinks Bodine sickened him in the days leading up to his death by force-feeding him large amounts of salt. Evan's father, Carlo Brewer, said he began seeking custody of his son after noticing signs that he had been abused, and authorities were alerted at least six times that Evan was being abused. After the sentencing, Carlo Brewer said he was pleased with the sentence. ""We don't have to worry about him getting out and hurting other people or children. It's turned into a pretty good day,"" he said."	nonTerrorism	Crime
Mother sues in case of missing toddler Ayla Reynolds	"The mother of a toddler whose disappearance prompted the biggest criminal investigation in Maine history sued Monday in hopes of unearthing more details. The announcement came on the seventh anniversary of the date 20-month-old Ayla Reynolds was reported missing by her father in Waterville. Ayla's mother, Trista Reynolds, has blamed the father, Justin DiPietro, for the toddler's death. But the body has never been found, and no charges have been filed. Reynolds and her attorney, William Childs, filed the wrongful death lawsuit alleging DiPietro caused Ayla's death, and said at a news conference that they hope depositions related to the suit will help solve the case. ""Justin, I promise you, wherever you are, one day you will have to face me and tell me the truth of what really happened to Ayla,"" Reynolds told reporters in Portland. ""You can't hide from this forever."" DiPietro did not return phone calls. An email to an address listed under his name was returned by a user who declined to comment. Childs said DiPietro's last known address was in California. The lawsuit seeks a monetary award from DiPietro. But Childs and Reynolds, who held a news conference about the lawsuit during morning snowfall outside court, said they were aware that DiPietro probably has no money to provide. Childs said the lawsuit is more about ""trying to find out how Ayla was killed, why Ayla was killed, and where Ayla was killed."" Detectives have said in the past that adults in the Waterville home where Ayla was last seen alive know more than they have shared with authorities. Sworn testimony from DiPietro and others who were in the house, who could potentially be served subpoenas, could help shed light on exactly what happened that night. Reynolds said she hopes it builds groundwork for eventual criminal charges. State police have long believed the girl is dead, and a judge declared her legally dead in 2017. But the investigation remains open. Maine State Police spokesman Steve McCausland said Monday that the investigation is ""active"" and that police ""remain as committed today as we were seven years ago"" to solving it. Ayla was last seen wearing pajamas with the words ""Daddy's Princess"" on them. DiPietro told police he believed Reynolds was abducted from a home where they were staying in the central Maine city of Waterville. State police ruled that theory out. Ayla was reported missing Dec. 17, 2011. DiPietro said at the time that he had tucked Ayla into bed the night before and found that she was gone the next morning. Searches didn't turn up any evidence. Trista Reynolds now lives in South Portland and has two young children. She said she lights a pink candle every December in Ayla's name. ""We've been at this for seven years,"" she said before the news conference, ""so I've got to have hope somewhere."""	nonTerrorism	Crime
