"Islamic State not defeated, just transforming: experts","Even as the last pockets of resistance in eastern Syria hold their ground, the Islamic State group is shapeshifting into a new, but no less dangerous, underground form, experts warn. Also known as ISIS, or the Islamic State in Iraq and Syria, the group had long been ready to cede the territory it once held in its self-styled “caliphate,” and has already begun the switch to a more clandestine role, closer to its roots. “ISIS anticipated its battlefield defeat and the loss of the caliphate and prepared accordingly,” said Bruce Hoffman, a terrorism expert at Georgetown University in Washington. “Hundreds of ISIS fighters were able to flee Syria, bribe their way through Syria to Turkey and thereby disappear,” he said. “Beneath the surface, ISIS has always played the long game.” In a recent study entitled “ISIS’s Second Resurgence,” Brandon Wallace and Jennifer Cafarella of the Washington-based Institute for the Study of War (ISW) said the jihadist group “has already restructured its operations to return to a regional insurgency.” “ISIS is finding new sources of revenue and rebuilding command-and-control over its scattered remnant forces in order to prepare for a future large-scale insurgency in both Iraq and Syria,” the report said. The group has managed to smuggle funds to several countries around the Middle East, using front companies such as car dealerships, electronics stores, pharmacies and currency exchanges that it established in Iraq, experts said. “We’re entering a very risky period,” said Seth Jones of the Center for Strategic and International Studies (CSIS). “I have no faith that ISIS has been crushed, defeated.” “They already have gone underground,” he said. “They are doing what everybody does who faces a better-equipped opposition, with air and naval capabilities: they have to face Russian air strikes, cruise missiles.” “What do you do in a case like that?” he said. “You disperse, you don’t operate in platoon-size positions the way they did in 2014, you go underground, you build your clandestine network, you conduct targeted assassinations, IEDs [roadside bombs] and you wait for opportunities.” Data collected by the CSIS show that in some provinces in Iraq, such as Kirkuk in the northeast, the number of attacks attributed to IS doubled last year from 2017, with an average of 75 a month. The group has regularly picked off tribal leaders, government officials, police and members of the armed forces. In a television interview last month, the Iraqi Kurdish leader Massud Barzani said that IS “is not defeated and will not be ended easily.” “IS was on the ground, now they are underground,” Barzani said, noting that they had returned to many areas they had been driven out of even stronger than before. An Islamic State fighter in Syria, who spoke to The New York Times via WhatsApp, echoed Barzani’s grim message. “Do you think the Americans can defeat the caliphate?” said the fighter, who identified himself only as Yehya. “It’s a war of attrition. When the coalition stops the air strikes, we will return immediately.” “We didn’t leave for good. We’re still in Syria, even in the areas that you think we left. We still have our suicide bombers ready to attack. Our informers are active,” he said. Hoffman agreed that the US and Russia are locked in a war of attrition against the Islamists, “and frankly we’re losing it. There are nearly a quarter of a million salafi-jihadi fighters all around the world.” That is four times the number of jihadists there were in 2001, when Al-Qaeda triggered the global “war on terror” with its jetliner suicide attacks on the United States. Hoffman said that while military operations may have held them at bay, Islamic State operatives “carry within their own DNA the seeds to constantly regenerate, to continue to attract, recruit.” “Who would have thought in the immediate aftermath of September 11 that 17 years later, we would still be fighting?” he said."
"Two dead, 11 wounded in car bomb in northern Iraqi city Tal Afar","BAGHDAD (Reuters) – At least two people were killed and 11 wounded on Tuesday by a car bomb in the northern Iraqi city of Tal Afar, a former Islamic State stronghold, the military said. Tal Afar, about 80 km (50 miles) west of Mosul, experienced cycles of sectarian violence between Sunnis and Shi’ites after the US-led invasion of Iraq in 2003, and produced some of Islamic State’s most senior commanders. The city, which had about 200,000 residents, came under the militants’ control when Islamic State overran swathes of Iraq’s north in 2014. It fell to Iraqi Security Forces, backed by the US-led coalition, in August 2017, the last area to be retaken in the north before fighting moved to the Syrian border. A heavy security presence has remained since then and the city has been mostly quiet."
"Bomb kills three Vietnamese tourists, Egyptian guide near pyramids: officials","CAIRO (Reuters) – Three Vietnamese tourists and an Egyptian guide were killed and at least 10 others injured when a roadside bomb blast hit their tour bus on Friday less than 4 kilometers (2.5 miles) from Egypt’s world-famous Giza pyramids, authorities said. The bombing is the first deadly attack against foreign tourists in Egypt for over a year and comes as the tourism sector, a vital source of foreign currency revenue, recovers from a sharp drop in visitor numbers since the country’s 2011 uprising. No immediate claim of responsibility was reported. Islamist extremists, including militants linked to Islamic State, are active in Egypt and have targeted foreign visitors in the past. At least nine Vietnamese tourists were injured, as well as the Egyptian driver, according to official statements. The tourists were heading to a sound and light show at the pyramids, which they had visited earlier in the day, said Lan Le, 41, who was also aboard the bus but unhurt. “We were going to the sound and light show and then suddenly we heard a bomb. It was terrible, people screaming,” she told Reuters, speaking at Al Haram hospital, where the injured were taken. “I don’t remember anything after.” Egypt’s interior ministry said the bus was hit by an explosion from an improvised device hidden near a wall at around 1815 local time (1615 GMT). About two hours later the vehicle could be seen behind a police cordon with one of its sides badly damaged and the windows blown out, a Reuters reporter said. Dozens of police, military and firefighters were at the site, on a narrow sidestreet close to the ring road, where traffic was moving normally. Shortly afterward, workers brought a pick-up truck to tow the bus away. An investigator at the scene said the device had likely been planted near the wall. The interior ministry confirmed the death of two of the tourists, and the state prosecutor’s office later said a third had died. In total, 14 Vietnamese tourists had been traveling on the bus, it said. Prime Minister Mostafa Madbouly told local TV from Al Haram hospital that the guide had died from his injuries. “The bus deviated from the route secured by the security forces,” Madbouly told Extra News channel, an assertion also made by the owner of the company that organized the bus tour. “We have been in contact with the embassy of Vietnam to contain the impact of the incident, and what is important now is to take care of the injured,” the prime minister said. The bus driver later told local media he had not deviated from the route. Egypt’s army and police launched a major campaign against militant groups in February, targeting the Sinai Peninsula as well as southern areas and the border with Libya. UAE reopens Damascus embassy in boost for Assad The government says fighting Islamist militants is a priority as it works to restore stability after the years of turmoil that followed the “Arab Spring” protests of 2011. Those events and the bombing of a Russian airliner shortly after it took off from Sharm el Sheikh in 2015 caused tourist numbers to plunge. The last deadly attack on foreign tourists in Egypt was in July 2017, when two Germans were stabbed to death in the Red Sea resort of Hurghada."
Police probe hoax bitcoin bomb threats across US,"(Reuters) – U.S. law enforcement officials on Friday were investigating a wave of hoax emailed bomb threats demanding bitcoin payment that caused worry but no damage in the United States, Canada, Australia and New Zealand. On Thursday in North America, hundreds of businesses, government offices and schools received awkwardly-worded letters threatening to set off explosives if payments of $20,000 in cryptocurrency were not received. The threats led to scattered evacuations of schools and transit stations before the Federal Bureau of Investigation and other agencies dismissed them as lacking credibility. Hoax threats were received in cities including Washington, New York, Detroit, San Francisco, Los Angeles, Phoenix, Oklahoma City, Grand Rapids, Iowa, Denver, Ottawa and Calgary, Alberta. Investigators do not yet know who was responsible, two federal officials said on Friday. There is no evidence to suggest that any of the recipients made ransom payments, one of the officials said. Cisco Systems Inc’s (CSCO.O) Talos cyber security unit said it believes the threats came from a group of fraudsters previously responsible for sending “sextortion” emails that claim to have videos showing the recipients having sex. The fraudsters threaten to release compromising videos they claim to have obtained with software that recorded people through webcams on their computers. Some of this week’s bomb threats came from the same internet addresses used in those sextortion campaigns, Talos researcher Jaeson Schultz said in a blog post. “The criminals conducting these extortion email attacks have demonstrated that they are willing to concoct any threat and story imaginable that they believe would fool the recipient,” the blog said. “We expect these sorts of attacks to continue as long as there are victims who will believe these threats to be credible, and be scared enough to send money to the attackers,” it said. A similar series of hoax bomb threats occurred in December 2015, prompting officials in Los Angeles to close the city’s public school system, which national law enforcement officials later criticized as an over-reaction. Two weeks previously, a married couple inspired by Islamic State had killed 14 people at a California county office building in a shooting rampage. A teenager with dual Israeli-U.S. citizenship was arrested in Israel in March 2017 for making bomb threats to more than 100 Jewish organizations and Jewish community centers in dozens of U.S. states over several months."
Authorities: Wave of hoax bomb threats made across US,"By the Associated Press A wave of bomb threats emailed Thursday to hundreds of schools, businesses and government buildings across the U.S. triggered searches, evacuations and fear — but there were no signs of explosives, and authorities said the scare appeared to be a crude extortion attempt. Law enforcement agencies across the country dismissed the threats, saying they were meant to cause disruption and compel recipients into sending money and were not considered credible. Some of the emails had the subject line: “Think Twice.” They were sent from a spoofed email address. The sender claimed to have had an associate plant a small bomb in the recipient’s building and that the only way to stop him from setting it off was by making an online payment of $20,000 in Bitcoin. “We are currently monitoring multiple bomb threats that have been sent electronically to various locations throughout the city,” the New York City Police Department’s counterterrorism unit tweeted. “These threats are also being reported to other locations nationwide & are NOT considered credible at this time.” Other law enforcement agencies also dismissed the threats, which were written in a choppy style reminiscent of the Nigerian prince email scam. The Palm Beach County, Florida, sheriff’s office and the Boise, Idaho, police said they had no reason to believe that threats made to locations in those areas were credible. One of the emails wound up in a spam filter, Boise Police Chief William Bones said. The FBI said it is assisting law enforcement agencies that are dealing with the threats. “As always, we encourage the public to remain vigilant and to promptly report suspicious activities which could represent a threat to public safety,” the FBI said in a statement. Thursday’s scare came less than two months after prominent Democratic officials and CNN’s Manhattan offices were targeted with package bombs. The suspect in that case, Cesar Sayoc, is in jail while awaiting trial. In 2015, an emailed bomb threat prompted different reactions from the nation’s two largest public school systems. The Los Angeles school system closed down under threat of a mass attack, but New York City officials quickly saw it as a hoax. In the wake of Thursday’s emails, some schools across the country closed early and others were evacuated or placed on lockdown. Authorities said a threat emailed to a school in Troy, Missouri, about 55 miles (88 kilometers) northeast of St. Louis, was sent from Russia. The bomb threats also prompted evacuations at city hall in Aurora, Illinois, the offices of the News & Observer in Raleigh, North Carolina, a suburban Atlanta courthouse and businesses in Detroit. “Organizations nationwide, both public and private, have reported receiving emailed bomb threats today,” Michigan State Police spokeswoman Shannon Banner said. “They are not targeted toward any one specific sector.” Penn State University notified students via a text alert about threats to a half-dozen buildings and an airport on its main campus in State College, Pennsylvania. In an update, the school said the threat appeared to be part of a “national hoax.” Officials at Columbine High School in Colorado were dealing Thursday with a bomb threat of a different sort. Students were being kept inside for the rest of the school day after someone called in a bomb threat against the school. The Jefferson County, Colorado, Sheriff’s Office said the caller claimed to have placed explosive devices in the school and to be hiding outside with a gun. Sheriff’s spokesman Mike Taplin said nothing was found at Columbine, where 12 students and a teacher were killed by two students in 1999. Two dozen other Colorado schools were also temporarily placed on lockout, meaning their doors were locked but classes continued normally, as the threat was investigated."
" Iran’s Rouhani says sanctions may lead to drugs, refugee, bomb ‘deluge’ ","DUBAI (Reuters) – Iranian President Hassan Rouhani predicted a “deluge” of drugs, refugees and attacks on the West if U.S. sanctions weaken Iran’s ability to contain them. “I warn those who impose sanctions that if Iran’s ability to fight drugs and terrorism are affected … you will not be safe from a deluge of drugs, asylum seekers, bombs and terrorism,” Rouhani said in a speech carried live on state television. Separately, Foreign minister Mohammad Javad Zarif was quoted as saying that the United States is selling more arms into the Middle East than the region needs, making it a “tinderbox”. U.S. President Donald Trump pulled the United States out of a multilateral nuclear deal with Iran in May and reimposed sanctions on Iran’s vital oil industry last month. Drug trafficking is a serious challenge for Iran as it borders Afghanistan – the world’s largest opium producer – and Pakistan, a major transit country for drugs. “We spend $800 million a year to fight drugs which ensures the health of nations stretching from of Eastern Europe to the American West and North Africa to West Asia. Imagine what a disaster there would be if there is a breach in the dam,” Rouhani said. In 2012, Iran accounted for two thirds of the world’s opium seizures and one fourth of the world’s heroin and morphine seizures, a U.N. report published in 2014 showed. “We have been just as determined in the fight against terrorism … sacrificing hundreds of valuable troops and spending millions of dollars annually,” Rouhani said. “We don’t expect the West to pay their share, but they should know that sanctions hurt Iran’s capacity to fight drugs and terrorism,” Rouhani added. Iran, a key supporter of President Bashar al-Assad in Syria’s civil war, has sent military advisers as well as materiel and regional Shi’ite militias to fight militant groups. In Iraq, Iranian-backed militias and their Iranian advisers helped Iraq defeat Islamic State. “Economic terrorism means creating horror in a country and create fear in other countries that intend to invest (there). America’s withdrawal from the (nuclear accord) is undoubtedly a clear example of economic terrorism,” Rouhani told a meeting of heads of parliaments of China, Russia, and four other countries. More than 700,000 undocumented Afghans have returned from Iran this year as the Iranian economy tightens, according to data from the U.N.’s migration agency, and Iranian media said some Afghans were seeking to enter Turkey to reach Europe. Zarif warned about the dangers of large U.S. arms sales in the Middle East, where Iran’s regional rival Saudi Arabia is a major buyer of Western weapons. “The Americans have turned the region into a tinderbox. The level of arms sales by the Americans is unbelievable and much beyond regional needs and this points to the very dangerous policies followed by the Americans,” IRNA reported Zarif as saying."
Three dead in suicide attack on Libyan foreign ministry,"TRIPOLI (Reuters) – At least three people were killed when suicide bombers attacked Libya’s foreign ministry in Tripoli on Tuesday, the health ministry said. The assailants were suspected to be Islamic State militants, a security source said. The three attackers began their assault with a car bomb, damaging vehicles and buildings, and then opened fire on the ministry. Two managed to get inside and blow themselves up. The other was killed by ministry guards, the source said. Heavy smoke rose from the building which was surrounded by security forces as people were rushed to hospital. The health ministry said at least eleven people were wounded. The ministry denounced the attack on its employees, saying: “the Libyan people are waging a war on terrorism on behalf of the world.” Suicide bombers have targeted a number of Libya’s vital institutions as militant groups take advantage of the chaotic political situation. A source from Tripoli Revolutionaries Brigade, one of the strongest armed groups in the capital, told Reuters their spokesman, Abdulrahman Mazoughi, died in the attack."
Nine more arrested in Morocco over murder of Scandinavian tourists,"OSLO/RABAT (Reuters) – Moroccan police have arrested nine more people in an investigation into the murder of two Scandinavian female tourists by suspected Islamic State militants, authorities said on Friday. Four suspects were already under arrest over the killing of Louisa Vesterager Jespersen, 24, from Denmark, and Maren Ueland, 28, from Norway, whose bodies were found on Monday in the Atlas Mountains with knife wounds to the neck. The North African country’s Central Bureau for Judicial Investigations said nine further arrests were made in various Moroccan cities over suspected links to the killers. It said electronic devices, an unauthorized hunting rifles, knives and materials that could be used for bomb-making were found in the course of the raids. Moroccan authorities have said the four suspects first arrested over the murder had pledged allegiance to Islamic State in a video posted on social media before the killings. In Norway, police said a separate video, purportedly showing the killings of the two tourists, was probably authentic. Further technical analysis of the video was needed, Norway’s National Crime Investigation Service said earlier on Friday. “We still believe, however, that we have grounds to say that so far, there is nothing concrete to show that this video is not real,” it said in a statement. Danish counterparts said they were still analyzing the video, while Moroccan authorities said on Thursday they working on authenticating it. Jespersen and Ueland were killed on the way to Toubkal, North Africa’s highest peak and a popular hiking destination. A source from Imlil, the village near where the two friends were killed, said one of them was found dead inside their tent while the body of the other was found outside. Compared to other countries in North Africa, Morocco has seen relatively few Islamist attacks. The last major one was in April 2011, when 17 people were killed in the bombing of a restaurant in Marrakech. Later on Friday, Norwegians planned to march with torches through Bryne, the coastal hometown of Maren Ueland, to express solidarity with her family. On Saturday, a gathering will be held outside the Norwegian Embassy in the Moroccan capital Rabat in support of the families of the victims and to condemn terrorism. Thousands of people have said on Facebook that they would attend."
Canadian gets 40 years for IS-inspired plot against New York,"A Canadian man who plotted to bomb the New York subway and Times Square and “create the next 9/11” in support of the Islamic State group was sentenced Wednesday to 40 years in prison. Abdulrahman El Bahnasawy, 20, of Mississauga, Canada, pleaded guilty two years ago to seven counts of terrorism-related offenses following his arrest in May 2016. But the charges against him were kept under seal until October 2017 while US authorities sought other participants in the plot. According to the Justice Department, El Bahnasawy launched the plot together with a US citizen living in Pakistan, Talha Haroon, and Philippines native and resident Russell Salic. El Bahnasawy scouted out possible attack locations in New York, including bombing targets and concert venues where he would shoot people, with his target date in mid-2016. The Justice Department said he had acquired materials to make bombs and a place to stay just outside of the city from which to stage the attacks. “Demonstrating his commitment to carry out the attacks, El Bahnasawy pinpointed bomb locations on a map of the subway system, and acquired an array of bomb-making materials. El Bahnasawy aspired, in his words, to ‘create the next 9/11,'” said Geoffrey Berman, the US attorney from New York. Haroon had planned to fly to the United States to take part while Salic wired money from the Philippines to help them. The plot was disrupted by an FBI agent who posed as an Islamic State supporter ready to take part in the plot, the Justice Department said. El Bahnasawy was arrested after he traveled to the New York City area to prepare for the attacks. Haroon was arrested in Pakistan in September 2016 and Salic was arrested in the Philippines in April 2017. Both are still being held and face extradition requests from the United States."
Somali man arrested in Italy after comments about attacking Vatican: police,"By Reuters ROME (Reuters) – Italian police said on Monday they had arrested a 20-year-old Somali man suspected of having been a member of Islamic State and who had threatened to bomb churches in Italy, including St. Peter’s Basilica in the Vatican. They told reporters in the southern city of Bari that the man, identified as Omar Moshin Ibrahim, was detained last Thursday and that a magistrate had charged him on Monday with instigating terrorism and supporting terrorism. Police said Ibrahim was stopped following a month-long surveillance operation as he was about to leave Bari where he worked for a cleaning company. The investigation, the police officials said, included wiretaps in which Ibrahim was heard telling someone, “Let’s put bombs in all the churches of Italy. Where is the largest church? It is in Rome.” In another conversation, they said, he was heard praising those who “killed on the path of Allah” and hailing last week’s shooting at the Strasbourg Christmas market in which a gunman killed five people. Police added that the man used the alias of Anas Khalil and called himself “Yusuf” on social media, and had arrived in Italy in 2016. He was suspected of having been a militant of Islamic State previously. Italian police have increased security around churches, including St. Peter’s, ahead of Christmas, which draws big crowds to the Vatican area."
